R1 0.1857 0.9310
R1 0.2146 0.7968
R1 0.2362 0.6185
R1 0.3323 0.2344
R1 0.4314 0.0739
R1 0.4886 0.0083
R2 0.4554 0.0243
R2 0.4391 -0.0373
R2 0.3729 0.1149
R2 0.2323 0.5258
R2 0.1970 0.7808
R2 0.1788 0.9398
R3 0.1517 0.0129
R3 0.1966 0.1084
R3 0.2571 0.2923
R3 0.3707 0.5518
R3 0.4333 0.8893
R3 0.4301 0.9301
R4 0.1509 0.0095
R4 0.2012 0.1250
R4 0.2543 0.2757
R4 0.3958 0.6349
R4 0.4233 0.8834
R4 0.4303 0.9541
R5 0.9477 0.0093
R5 0.8699 0.0789
R5 0.7265 0.1498
R5 0.5195 0.1426
R5 0.3583 0.0314
R5 0.2954 0.0071
R6 0.4700 0.0145
R6 0.3997 0.0357
R6 0.2955 0.2574
R6 0.2057 0.6097
R6 0.1955 0.7902
R6 0.1760 0.9396
R7 0.9665 0.9471
R7 1.0003 0.8096
R7 0.7343 0.6343
R7 0.4514 0.3312
R7 0.2424 0.1082
R7 0.1780 0.0354
R8 0.4835 0.0218
R8 0.4424 0.0742
R8 0.3693 0.3073
R8 0.2604 0.6143
R8 0.2004 0.8220
R8 0.1904 0.9170
R9 0.3627 -0.0047
R9 0.4581 0.0669
R9 0.6249 0.1636
R9 0.9166 0.5072
R9 0.9508 0.8030
R9 0.9721 0.9331
R10 0.4736 -0.0067
R10 0.3916 0.1079
R10 0.5743 0.3247
R10 0.6522 0.7511
R10 0.8629 0.8146
R10 0.9691 0.9086
R11 0.9626 0.9263
R11 0.9637 0.8399
R11 0.8126 0.5754
R11 0.5365 0.2231
R11 0.4175 0.0687
R11 0.2971 0.0019
R12 0.3164 0.0169
R12 0.3649 0.0657
R12 0.5313 0.1622
R12 0.7735 0.0713
R12 0.8976 -0.0086
R12 0.9586 0.0197
R13 0.9898 0.0774
R13 0.9575 0.1815
R13 0.9427 0.3835
R13 0.9446 0.6223
R13 0.9614 0.8654
R13 0.9640 0.9386
R14 0.0883 0.0565
R14 0.1256 0.0534
R14 0.2125 1.1028
R14 0.1325 0.6184
R14 0.3583 0.0886
R14 0.4734 0.0238
R15 0.1914 0.9454
R15 0.2017 0.8429
R15 0.2404 0.5865
R15 0.3915 0.2260
R15 0.4800 0.0186
R15 0.4590 0.0159
R16 0.0874 0.0586
R16 0.1297 0.0522
R16 0.2105 1.1601
R16 0.1334 0.5336
R16 0.3943 0.0631
R16 0.4618 0.0309
R17 0.9671 0.9308
R17 0.8995 0.8537
R17 0.6804 0.7816
R17 0.3553 0.7942
R17 0.2332 0.8740
R17 0.3222 0.8766
R18 0.9722 0.9290
R18 0.8791 0.8516
R18 0.6721 0.7673
R18 0.2676 0.8169
R18 0.2719 0.8728
R18 0.3164 0.8809
R19 0.2321 0.0000
R19 0.3104 0.0816
R19 0.5343 0.3559
R19 0.7334 0.5744
R19 0.9180 0.8135
R19 0.9652 0.9238
R20 0.4769 0.0104
R20 0.4274 0.0862
R20 0.5495 0.2045
R20 0.8180 0.1014
R20 0.9061 0.0834
R20 0.9855 0.0453
R21 0.3013 0.8956
R21 0.3154 0.8179
R21 0.2830 0.5651
R21 0.2129 0.2364
R21 0.0895 -0.0451
R21 0.2735 0.0187
R22 0.1881 0.0067
R22 0.1979 0.1091
R22 0.2142 0.3031
R22 0.1934 0.5601
R22 0.1719 0.8390
R22 0.1882 0.9243
R23 0.1868 0.0110
R23 0.2019 0.1031
R23 0.2126 0.3216
R23 0.1760 0.6564
R23 0.1876 0.8431
R23 0.1742 0.9455
R24 0.9684 0.0236
R24 0.8642 0.0886
R24 0.6945 0.3609
R24 0.4479 0.6778
R24 0.2583 0.7789
R24 0.1885 0.9222
R25 0.9765 0.9323
R25 0.9947 0.8048
R25 0.7915 0.5875
R25 0.7139 0.2712
R25 0.5035 0.1202
R25 0.4173 0.0165
R26 0.2514 0.0050
R26 0.3121 0.0427
R26 0.4766 0.1402
R26 0.7581 0.1174
R26 0.8964 0.0747
R26 0.9898 0.0295
R27 0.7767 0.0062
R27 0.7962 0.0073
R27 0.8622 0.0291
R27 0.9190 0.0408
R27 0.9798 0.0305
R27 0.9911 0.0435
R28 0.4825 0.0170
R28 0.4166 0.0697
R28 0.3013 0.2685
R28 0.2497 0.6077
R28 0.1962 0.8177
R28 0.1830 0.9303
R29 0.4853 0.0139
R29 0.4161 0.0778
R29 0.5666 0.2453
R29 0.7857 0.0910
R29 0.9191 0.0788
R29 0.9830 0.0372
R30 0.1827 0.9357
R30 0.2248 0.8129
R30 0.4208 0.7292
R30 0.7026 0.8377
R30 0.8882 0.8468
R30 0.9604 0.9335
R31 0.9734 0.0668
R31 0.9648 0.0643
R31 0.8434 0.0999
R31 0.6353 0.1360
R31 0.5678 0.1185
R31 0.4845 0.0934
R32 0.9532 0.9388
R32 0.9402 0.8238
R32 0.7488 0.5714
R32 0.5264 0.3211
R32 0.3725 0.0632
R32 0.3126 0.0186
R33 0.9550 0.9429
R33 0.9342 0.8072
R33 0.7459 0.5810
R33 0.4996 0.2687
R33 0.3699 0.0868
R33 0.3200 0.0350
R34 0.4826 0.0167
R34 0.4147 0.0128
R34 0.2884 0.3560
R34 0.2726 0.5919
R34 0.2069 0.8441
R34 0.1865 0.9387
R35 0.4840 0.0141
R35 0.4065 0.1029
R35 0.5688 0.2610
R35 0.7511 0.0787
R35 0.8954 0.1006
R35 0.9831 0.0336
R36 0.1955 0.9238
R36 0.2071 0.8516
R36 0.2622 0.6486
